uuid,title,category,abstract,link,data_source,gattered_datetime,crawler_datetime,any_category
5741912e-9230-4bd9-98bd-49e3b918d5ff,Arrest made in connection to decades-old Massachusetts double murder case,area-world,"Decades after a double homicide case in Western Massachusetts went cold, an unexpected tip has led to an arrest, officials announced Wednesday.",https://www.cnn.com/2024/11/16/us/massachusetts-double-murder-arrest/index.html,cnn_news,2024-11-16 00:00:00,2024-11-16 17:38:32,YES
6ed4c783-fca0-43a5-a452-5664c8f6e4c3,Jake Paul defeats Mike Tyson via unanimous decision of highly anticipated fight,sports,"Social media influencer-turned-boxer Jake Paul defeated former heavyweight champion Mike Tyson via unanimous decision of their highly anticipated professional bout on Friday night in Arlington, Texas.",https://www.cnn.com/2024/11/16/sport/jake-paul-defeats-mike-tyson-via-decision-spt-intl/index.html,cnn_news,2024-11-16 00:00:00,2024-11-16 17:38:32,YES
0b5dd013-afa5-44f9-973e-ed642b89a3c5,Hospital fire kills 10 newborn babies in northern India,area-world,"A fire tore through a neonatal intensive care unit in a hospital in northern India, killing 10 newborn babies and injuring 16 others, authorities said.",https://www.cnn.com/2024/11/16/india/hospital-fire-jhansi-india-intl-hnk/index.html,cnn_news,2024-11-16 00:00:00,2024-11-16 17:38:32,YES
e2018a12-2184-47e2-b17d-c6be640cd639,"Woman told House Ethics Committee she saw Gaetz have sex with a minor, lawyer says",politics,The attorney who represents two of the women who were witnesses in the House Ethics Committee probe into former Rep. Matt Gaetz confirmed on Friday that one of his clients saw the congressman having sex with a minor.,https://www.cnn.com/2024/11/15/politics/matt-gaetz-ethics-committee/index.html,cnn_news,2024-11-16 00:00:00,2024-11-16 17:38:32,YES
