uuid,title,category,abstract,link,data_source,gattered_datetime,crawler_datetime,any_category
4106632a-2eb2-4e01-93c2-00727962f664,"The best Nike running shoes, according to a trainer and podiatrist",health,"Nike running shoes are some of the most iconic on the market. Find out which ones are worth it, whether you’re looking to crush a personal record or a fashion trend.",https://www.cnn.com/cnn-underscored/health-fitness/best-nike-running-shoes,cnn_news,2024-11-16 00:00:00,2024-11-16 10:08:53,YES
ac543382-32f2-4015-9266-b0403fff0bd7,Trump names campaign spokespeople to top White House communications roles,politics,President-elect Donald Trump on Friday elevated two of his campaign’s spokespeople to top communications roles in his incoming administration.,https://www.cnn.com/2024/11/15/politics/steven-cheung-communications-director/index.html,cnn_news,2024-11-16 00:00:00,2024-11-16 10:08:53,YES
a0c8ce8d-d46c-4eb3-9849-328737197229,"I found the best early Black Friday mattress deals — and some are over $1,000 off",shopping,"CNN Underscored editors found the best early Black Friday deals on mattresses, including discounts over $1,000 at Nolah and Avocado.",https://www.cnn.com/cnn-underscored/deals/early-black-friday-mattress-deals-2024-11-15,cnn_news,2024-11-16 00:00:00,2024-11-16 10:08:53,YES
792d8eae-c179-4c60-958d-e8cd4cd92e19,"Storing too many digital items on your devices could be a sign of a disorder, experts say",health,"Too much digital clutter on your devices could affect your mental health, and it might be a sign of digital hoarding. Here’s what to know, according to experts.",https://www.cnn.com/2024/11/15/health/digital-hoarding-clutter-wellness/index.html,cnn_news,2024-11-16 00:00:00,2024-11-16 10:08:53,YES
555f1bd8-c179-4c7b-91ab-45ee800fef34,Speaker Johnson says he’s going to request Ethics Committee not release Gaetz report,politics,House Speaker Mike Johnson said on Friday that he does not think a House Ethics Committee report on allegations related to Matt Gaetz should be released and is “going to strongly request that the Ethics Committee not issue the report.”,https://www.cnn.com/2024/11/15/politics/johnson-ethics-report-gaetz/index.html,cnn_news,2024-11-16 00:00:00,2024-11-16 10:08:53,YES
1dfbd420-2c36-4f58-a7e7-4747d085a3e1,"The best sales to shop this weekend: Best Buy, Samsonite, Birdies and more",shopping,"This weekend, you’ll find a deal on a popular pair of Birdies loafers, discounts on Samsonite luggage and savings at Best Buy. All that and more below.",https://www.cnn.com/cnn-underscored/deals/best-online-sales-right-now-2024-11-15,cnn_news,2024-11-16 00:00:00,2024-11-16 10:08:58,YES
90c38bce-0cc1-4523-83bf-a9f6a4489982,Trump allies lobby him to fire FBI director early and install loyalist Kash Patel,politics,"Donald Trump is weighing a push from right-wing allies to nominate Kash Patel to lead the FBI, one of the clearest indications Trump plans to stick by his vow to fire Director Christopher Wray before his 10-year term ends and replace him with a ...",https://www.cnn.com/2024/11/15/politics/kash-patel-donald-trump-fbi-director-christopher-wray/index.html,cnn_news,2024-11-16 00:00:00,2024-11-16 10:08:58,YES
bbf35545-977d-4c2f-a069-4eafed31a9c1,‘We are not Disneyland’: Outrage in Rome over Airbnb ‘gladiator’ battles at the Colosseum,travel,Plans to offer Airbnb customers the chance to take part in gladiator-style battles in Rome’s Colosseum have been decried as an insult to the UNESCO-listed ancient arena.,https://www.cnn.com/2024/11/15/travel/airbnb-gladiator-battles-colosseum-outrage/index.html,cnn_news,2024-11-16 00:00:00,2024-11-16 10:08:58,YES
6381cf13-afe4-4910-8e30-5726408e7ea3,Texas Supreme Court clears way for new execution date for Robert Roberson in 2-year-old daughter’s death,area-world,"The Texas Supreme Court on Friday denied a state house committee’s attempt to delay the execution of a man convicted of murder in the 2002 death of his 2-year-old daughter, clearing a path for a new execution date.",https://www.cnn.com/2024/11/15/us/texas-robert-roberson-death-row/index.html,cnn_news,2024-11-16 00:00:00,2024-11-16 10:08:58,YES
0646212c-fcc7-4f51-8f0c-a9457c2372f3,"Our favorite product releases this week: Yeti, Warby Parker, Away and more",comment,"This week brings the debut of & Other Stories’ revamped beauty collection, Away’s out-of-this-world luggage, Hydrow’s subscription-free rower and more.",https://www.cnn.com/cnn-underscored/reviews/best-product-launches-2024-11-15,cnn_news,2024-11-15 00:00:00,2024-11-16 10:08:58,YES
5e111675-af5e-42da-a9be-5b87a5e4a47f,A former NFL linebacker is charged in connection with the January 6 Capitol attack,area-world,"A former NFL linebacker was arrested on Thursday and charged with assaulting law enforcement during the January 6, 2021, attack on the US Capitol, according to court records.",https://www.cnn.com/2024/11/15/us/antwione-williams-jan-6-arrest/index.html,cnn_news,2024-11-15 00:00:00,2024-11-16 10:08:58,YES
cfdd988d-68a4-4f89-bec4-346d95543239,I’ve been a beauty editor for 15 years. These are the best eyebrow pencils under $25,fashion,"With my years of knowledge as a beauty editor and months of testing the latest eyebrow pencils, these are my top 11 brow pencils that won’t break the bank.",https://www.cnn.com/cnn-underscored/beauty/best-eyebrow-pencils-under-25,cnn_news,2024-11-15 00:00:00,2024-11-16 10:08:59,YES
9ebc537c-7b2a-4cd1-8830-408e0b18c174,"The best base layers of 2024, tried and tested",comment,We tested a mix of 12 wool and synthetic base layers to see which are guaranteed to keep you warm when temperatures drop. Two emerged as must-haves for this winter.,https://www.cnn.com/cnn-underscored/reviews/best-base-layers,cnn_news,2024-11-15 00:00:00,2024-11-16 10:08:59,YES
073a50b5-59d9-43aa-a770-858ecadfcf82,"Trump may end the $7,500 EV tax credit. Elon Musk and Tesla would reap the rewards",business,"The $7,500 tax credit for buyers of electric vehicles could be vanishing early in the new Trump administration, but that might actually be good news for Tesla and its CEO Elon Musk, one of President-elect Donald Trump’s most prominent backers.",https://www.cnn.com/2024/11/15/business/musk-tesla-trump-ev-tax-credit/index.html,cnn_news,2024-11-15 00:00:00,2024-11-16 10:08:59,YES
a8742ef2-9c31-4c78-93c2-403bac06c144,Climate leaders were worried Trump would derail talks. They didn’t know their host would be the wrecking ball,weather,"From the moment the US election results rolled in, climate leaders knew Donald Trump would be a blow to the COP29 talks in Baku. What they didn’t foresee was the demolition job Azerbaijan’s own leader would do from the inside.",https://www.cnn.com/2024/11/15/climate/cop29-azerbaijan-ilham-aliyev-chaos/index.html,cnn_news,2024-11-16 00:00:00,2024-11-16 10:08:59,YES
